RowNumber,AgingDays,Number_At_Risk_Nt,Number_of_Deaths_Dt,Number_Censored_Ct,Survival_Probability_St,GreenwoodVarianceEstimationforKaplanMeier,StandardErrorLinear,MarginofErrorLinear,UpperLimitLinear,LowerLimitLinear,LogLogSurvival,SE_LogLogSurvival,Upper_LogLog,Lower_LogLog,UpperLimit,LowerLimit,MarginofError,CumulativeHazard,VarianceofNelsonAalenEstimator,UpperLimitLargeSample,LowerLimitLargeSample,LogtransformedUpperLimit,LogtransformedLowerLimit,SurvivalFunctionEstimateNelsonAalen
1,0,336,3,0,1.000000000000,0.000027000000,0.005196152423,0.01018445875,1,0.9898155413,-36.739033183,519615.248026686,1018409.14709912,-1018482.62516549,0,1,0,0.008929,0.000026,0.01892307825,-0.001065078247,0.02734646977,0.002915441798,0.9911107451
2,1,333,6,0,0.981982000000,0.000079071669,0.0088922252,0.01742876139,0.9994107614,0.9645532386,-4.007306655,-0.4890596801,-4.965863628,-3.048749682,0.9930523205,0.9536885054,0.01968190758,0.026947,0.000079,0.04436786106,0.009526138942,0.05143701649,0.01411708646,0.973412831
3,2,327,3,0,0.972973297132,0.000104134474,0.01020463003,0.02000107485,0.992974372,0.9529722223,-3.597261982,-0.3724504053,-4.327264777,-2.867259188,0.9868831723,0.9447314792,0.02107584656,0.036121,0.000107,0.05639539765,0.01584660235,0.06331774136,0.02060601994,0.9645235791
4,3,324,4,0,0.960960675342,0.000137593368,0.01173001995,0.0229908391,0.9839515144,0.9379698362,-3.223341126,-0.2945629523,-3.800684512,-2.645997739,0.9778925676,0.9315228637,0.02318485198,0.048467,0.000145,0.07206852537,0.02486547463,0.07887338753,0.02978254342,0.9526887775
5,4,320,2,0,0.954954993750,0.000154117698,0.01241441493,0.02433225326,0.979287247,0.9306227405,-3.077136056,-0.2693453984,-3.605053037,-2.549219075,0.9731802103,0.9248324753,0.02417386754,0.054717,0.000164,0.07981724701,0.02961675299,0.08656563751,0.03458589546,0.9467530412
6,5,318,5,0,0.939940242535,0.000193483797,0.01390984533,0.02726329684,0.9672035394,0.9126769457,-2.781605579,-0.2245734055,-3.221769454,-2.341441704,0.9609004916,0.9082924577,0.02630401695,0.070440,0.000213,0.09904525826,0.04183474174,0.105726465,0.04693047859,0.9319836569
7,6,313,0,0,0.939940000000,0.000193483698,0.01390984177,0.02726328986,0.9672032899,0.9126767101,-2.781601457,-0.2245724222,-3.221763404,-2.341439509,0.9609002597,0.9082922659,0.02630399692,0.070440,0.000213,0.09904525826,0.04183474174,0.105726465,0.04693047859,0.9319836569
8,7,313,4,0,0.927927566800,0.000223872888,0.01496238243,0.02932626956,0.9572538364,0.8986012972,-2.59291603,-0.200027604,-2.984970134,-2.200861926,0.9507149362,0.8952003819,0.02775727715,0.083220,0.000253,0.1143957085,0.05204429151,0.121038138,0.05721806792,0.9201486922
9,8,309,4,0,0.915915972040,0.000253348424,0.01591692257,0.03119716823,0.9471131403,0.8847188038,-2.432344712,-0.1812228847,-2.787541566,-2.077147858,0.9402848669,0.8822436274,0.02902061977,0.096165,0.000294,0.1297719993,0.06255800073,0.1363926311,0.06780210302,0.9083141319
10,9,305,3,0,0.906907050224,0.000275530933,0.01659912446,0.03253428395,0.9394413342,0.8743727663,-2.325696989,-0.1698723109,-2.658646718,-1.99274726,0.9323537787,0.8725630159,0.02989538139,0.106001,0.000326,0.1413897214,0.07061227863,0.1480131677,0.07591359728,0.8994237487
11,10,302,0,0,0.906907000000,0.000275530903,0.01659912356,0.03253428218,0.9394412822,0.8743727178,-2.325696425,-0.1698722058,-2.658645948,-1.992746902,0.9323537284,0.8725629733,0.02989537754,0.106001,0.000326,0.1413897214,0.07061227863,0.1480131677,0.07591359728,0.8994237487
12,11,302,2,0,0.900900554939,0.000289748986,0.01702201475,0.0333631489,0.9342637038,0.867537406,-2.25990495,-0.1631079966,-2.579596623,-1.940213277,0.9269973467,0.8661706761,0.03041333533,0.112624,0.000348,0.1491873259,0.07606067411,0.1558204437,0.0814024468,0.8934865479
13,12,300,6,0,0.882882980000,0.000331280001,0.0182010989,0.03567415383,0.9185571338,0.8472088262,-2.082946787,-0.1461200931,-2.36934217,-1.796551405,0.9106995478,0.8471564241,0.03177156184,0.132624,0.000414,0.1725041003,0.0927438997,0.1791491207,0.09818147756,0.8757943289
14,13,294,2,0,0.876876746951,0.000344472948,0.01855998244,0.03637756557,0.9132543125,0.8404991814,-2.029594177,-0.1412599816,-2.30646374,-1.752724613,0.9051877606,0.8408843686,0.03215169601,0.139427,0.000437,0.1803999081,0.09845409188,0.1870559087,0.1039255507,0.8698565204
15,14,292,2,0,0.870871269427,0.000357972714,0.01892016686,0.03708352705,0.9079547965,0.8337877424,-1.9786113,-0.1368437488,-2.246825048,-1.710397553,0.8996635725,0.8346073508,0.03252811085,0.146276,0.000460,0.1883133168,0.1042386832,0.1949764539,0.1097397544,0.8639192286
16,15,290,3,0,0.861861839505,0.000377345362,0.01942537933,0.03807374348,0.899935583,0.823788096,-1.906091455,-0.130669593,-2.162203858,-1.649979053,0.8913026446,0.8252623596,0.03302014247,0.156621,0.000495,0.2002282471,0.1130137529,0.2069038438,0.1185581533,0.855028053
17,16,287,1,0,0.858859272792,0.000383572410,0.01958500472,0.03838660926,0.897245882,0.8204726635,-1.882887096,-0.1287215276,-2.13518129,-1.630592902,0.8884977571,0.8221656023,0.03316607739,0.160105,0.000507,0.2042376546,0.1159723454,0.210919817,0.1215324923,0.8520543186
18,17,286,1,0,0.855855570077,0.000389684019,0.01974041588,0.03869121512,0.8945467852,0.817164355,-1.860121984,-0.1268227128,-2.108694501,-1.611549466,0.8856828533,0.81907622,0.03330331664,0.163602,0.000519,0.2082538801,0.1189501199,0.2149416434,0.1245250291,0.8490798884
19,18,285,6,0,0.837837663632,0.000426096974,0.02064211651,0.04045854836,0.878296212,0.7973791153,-1.731995914,-0.1166676681,-1.960664543,-1.503327284,0.8686935649,0.8006038877,0.03404483858,0.184655,0.000592,0.2323438582,0.1369661418,0.2390681003,0.1426265946,0.8313910643
20,19,279,2,0,0.831832377216,0.000438001251,0.02092847942,0.04101981967,0.8728521969,0.7908125575,-1.692144082,-0.1136649425,-1.91492737,-1.469360795,0.8629896902,0.7944759996,0.0342568453,0.191823,0.000618,0.2405478273,0.1430981727,0.2472951046,0.1487941437,0.8254529607
21,20,277,1,0,0.828829086480,0.000443774645,0.02106595939,0.0412892804,0.8701183669,0.7875398061,-1.67269029,-0.1122073817,-1.892616758,-1.452763822,0.8601254681,0.7914228538,0.03435130714,0.195433,0.000631,0.2446676382,0.1461983618,0.251424697,0.1519105241,0.8224784478
22,21,276,1,0,0.825826152533,0.000449430642,0.02119977929,0.04155156741,0.8673777199,0.7842745851,-1.653541339,-0.110778439,-1.870667079,-1.436415598,0.8572541185,0.7883772762,0.03443842112,0.199056,0.000644,0.248795224,0.149316776,0.2555611523,0.1550442655,0.8195039998
23,22,275,0,0,0.825826000000,0.000449430476,0.02119977538,0.04155155974,0.8673775597,0.7842744403,-1.65354039,-0.1107783134,-1.870665884,-1.436414895,0.8572539606,0.7883771444,0.0344384081,0.199056,0.000644,0.248795224,0.149316776,0.2555611523,0.1550442655,0.8195039998
24,23,275,2,0,0.819819767502,0.000461063654,0.02147239283,0.04208588995,0.8619056575,0.7777338775,-1.61610633,-0.1080802964,-1.827943711,-1.404268949,0.8515102309,0.7822769088,0.03461666107,0.206329,0.000670,0.2570623421,0.1555956579,0.2638439002,0.1613516788,0.8135653692
25,24,273,0,0,0.819820000000,0.000461063915,0.02147239891,0.04208590187,0.8619059019,0.7777340981,-1.616107742,-0.1080804796,-1.827945482,-1.404270002,0.8515104734,0.782277111,0.03461668116,0.206329,0.000670,0.2570623421,0.1555956579,0.2638439002,0.1613516788,0.8135653692
26,25,273,0,0,0.819820000000,0.000461063915,0.02147239891,0.04208590187,0.8619059019,0.7777340981,-1.616107742,-0.1080804796,-1.827945482,-1.404270002,0.8515104734,0.782277111,0.03461668116,0.206329,0.000670,0.2570623421,0.1555956579,0.2638439002,0.1613516788,0.8135653692
27,26,273,0,0,0.819820000000,0.000461063915,0.02147239891,0.04208590187,0.8619059019,0.7777340981,-1.616107742,-0.1080804796,-1.827945482,-1.404270002,0.8515104734,0.782277111,0.03461668116,0.206329,0.000670,0.2570623421,0.1555956579,0.2638439002,0.1613516788,0.8135653692
28,27,273,0,0,0.819820000000,0.000461063915,0.02147239891,0.04208590187,0.8619059019,0.7777340981,-1.616107742,-0.1080804796,-1.827945482,-1.404270002,0.8515104734,0.782277111,0.03461668116,0.206329,0.000670,0.2570623421,0.1555956579,0.2638439002,0.1613516788,0.8135653692
29,28,273,0,0,0.819820000000,0.000461063915,0.02147239891,0.04208590187,0.8619059019,0.7777340981,-1.616107742,-0.1080804796,-1.827945482,-1.404270002,0.8515104734,0.782277111,0.03461668116,0.206329,0.000670,0.2570623421,0.1555956579,0.2638439002,0.1613516788,0.8135653692
30,29,273,1,0,0.816816999340,0.000466365817,0.02159550456,0.04232718893,0.8591441883,0.7744898104,-1.597804854,-0.1067286971,-1.8069931,-1.388616607,0.8486172923,0.7792525312,0.03468238052,0.209992,0.000683,0.2612151666,0.1587688334,0.2680031056,0.1645377951,0.8105907307
31,30,272,1,0,0.813814380708,0.000472215512,0.02173052029,0.04259181977,0.8564062005,0.7712225609,-1.579767606,-0.105476206,-1.78650097,-1.373034242,0.845738227,0.776206174,0.03476602653,0.213668,0.000697,0.2654134848,0.1619225152,0.272217248,0.1677116882,0.8076164692
32,31,271,1,0,0.810811026340,0.000477940356,0.02186184704,0.0428492202,0.8536602465,0.7679618061,-1.56198074,-0.1042429008,-1.766296825,-1.357664654,0.8428511309,0.7731664922,0.03484231933,0.217358,0.000711,0.2696205832,0.1650954168,0.2764390831,0.1709038376,0.804641856
33,32,270,0,3,0.810811000000,0.000477940325,0.02186184633,0.04284921881,0.8536602188,0.7679617812,-1.561980563,-0.104242879,-1.766296606,-1.35766452,0.8428510993,0.7731664656,0.03484231685,0.217358,0.000711,0.2696205832,0.1650954168,0.2764390831,0.1709038376,0.804641856
34,33,267,1,2,0.807774512805,0.000483502251,0.02198868461,0.04309782184,0.8508723346,0.764676691,-1.544248062,-0.103004852,-1.746137572,-1.342358552,0.8399218471,0.7701046844,0.03490858135,0.221103,0.000725,0.2738776151,0.1683283849,0.2807084471,0.1741541343,0.8016341077
35,34,264,1,4,0.804715148300,0.000488912685,0.02211137004,0.04333828528,0.8480534336,0.761376863,-1.526628669,-0.1017705401,-1.726098928,-1.32715841,0.836961372,0.7670296157,0.03496587817,0.224891,0.000739,0.2781727267,0.1716092733,0.2850139967,0.1774508005,0.7986032618
36,35,259,1,9,0.801607995385,0.000494783041,0.02224371914,0.04359768951,0.8452056849,0.7580103059,-1.508979344,-0.1005886141,-1.706133028,-1.31182566,0.8339627435,0.7638927295,0.03503500699,0.228752,0.000754,0.2825717585,0.1749322415,0.2894301595,0.1807948335,0.7955257994
37,36,249,0,4,0.801608000000,0.000494783047,0.02224371927,0.04359768977,0.8452056898,0.7580103102,-1.508979344,-0.1005886148,-1.706133029,-1.311825659,0.8339627437,0.7638927293,0.0350350072,0.228752,0.000754,0.2825717585,0.1749322415,0.2894301595,0.1807948335,0.7955257994
38,37,245,0,6,0.801608000000,0.000494783047,0.02224371927,0.04359768977,0.8452056898,0.7580103102,-1.508979344,-0.1005886148,-1.706133029,-1.311825659,0.8339627437,0.7638927293,0.0350350072,0.228752,0.000754,0.2825717585,0.1749322415,0.2894301595,0.1807948335,0.7955257994
39,38,239,1,1,0.798254072128,0.000502121136,0.02240805962,0.04391979686,0.842173869,0.7543342753,-1.490196624,-0.09944625695,-1.685111288,-1.29528196,0.8307521403,0.7604684554,0.03514184242,0.232936,0.000772,0.2873943804,0.1784776196,0.2942868317,0.1843751546,0.792204273
40,39,237,0,4,0.798254000000,0.000502121045,0.02240805759,0.04391979288,0.8421737929,0.7543342071,-1.490196235,-0.09944620924,-1.685110805,-1.295281665,0.8307520659,0.7604683939,0.03514183603,0.232936,0.000772,0.2873943804,0.1784776196,0.2942868317,0.1843751546,0.792204273
41,40,233,0,0,0.798254000000,0.000502121045,0.02240805759,0.04391979288,0.8421737929,0.7543342071,-1.490196235,-0.09944620924,-1.685110805,-1.295281665,0.8307520659,0.7604683939,0.03514183603,0.232936,0.000772,0.2873943804,0.1784776196,0.2942868317,0.1843751546,0.792204273
42,41,233,0,4,0.798254000000,0.000502121045,0.02240805759,0.04391979288,0.8421737929,0.7543342071,-1.490196235,-0.09944620924,-1.685110805,-1.295281665,0.8307520659,0.7604683939,0.03514183603,0.232936,0.000772,0.2873943804,0.1784776196,0.2942868317,0.1843751546,0.792204273
43,42,229,0,6,0.798254000000,0.000502121045,0.02240805759,0.04391979288,0.8421737929,0.7543342071,-1.490196235,-0.09944620924,-1.685110805,-1.295281665,0.8307520659,0.7604683939,0.03514183603,0.232936,0.000772,0.2873943804,0.1784776196,0.2942868317,0.1843751546,0.792204273
44,43,223,0,5,0.798254000000,0.000502121045,0.02240805759,0.04391979288,0.8421737929,0.7543342071,-1.490196235,-0.09944620924,-1.685110805,-1.295281665,0.8307520659,0.7604683939,0.03514183603,0.232936,0.000772,0.2873943804,0.1784776196,0.2942868317,0.1843751546,0.792204273
45,44,218,0,8,0.798254000000,0.000502121045,0.02240805759,0.04391979288,0.8421737929,0.7543342071,-1.490196235,-0.09944620924,-1.685110805,-1.295281665,0.8307520659,0.7604683939,0.03514183603,0.232936,0.000772,0.2873943804,0.1784776196,0.2942868317,0.1843751546,0.792204273
46,45,210,3,1,0.786850143356,0.000530597108,0.02303469357,0.0451479994,0.8319981428,0.741702144,-1.428294277,-0.09609101492,-1.616632666,-1.239955888,0.8199054803,0.7487149189,0.03559528072,0.247222,0.000839,0.3039943736,0.1904496264,0.3110420109,0.1964966633,0.7809672995
47,46,206,0,8,0.786850000000,0.000530596915,0.02303468938,0.04514799119,0.8319979912,0.7417020088,-1.428293535,-0.09609092612,-1.61663175,-1.23995532,0.8199053311,0.7487147957,0.03559526769,0.247222,0.000839,0.3039943736,0.1904496264,0.3110420109,0.1964966633,0.7809672995
48,47,198,0,2,0.786850000000,0.000530596915,0.02303468938,0.04514799119,0.8319979912,0.7417020088,-1.428293535,-0.09609092612,-1.61663175,-1.23995532,0.8199053311,0.7487147957,0.03559526769,0.247222,0.000839,0.3039943736,0.1904496264,0.3110420109,0.1964966633,0.7809672995
49,48,196,1,4,0.782835491300,0.000541130132,0.02326220394,0.04559391972,0.828429411,0.7372415716,-1.407180141,-0.09501265339,-1.593404941,-1.22095534,0.8160885296,0.7445701132,0.03575920819,0.252324,0.000865,0.3099693294,0.1946786706,0.3170855312,0.2007893603,0.7769929516
50,49,191,0,8,0.782835000000,0.000541129453,0.02326218934,0.04559389111,0.8284288911,0.7372411089,-1.407177584,-0.09501235087,-1.593401792,-1.220953376,0.8160880072,0.744569682,0.03575916263,0.252324,0.000865,0.3099693294,0.1946786706,0.3170855312,0.2007893603,0.7769929516
51,50,183,0,5,0.782835000000,0.000541129453,0.02326218934,0.04559389111,0.8284288911,0.7372411089,-1.407177584,-0.09501235087,-1.593401792,-1.220953376,0.8160880072,0.744569682,0.03575916263,0.252324,0.000865,0.3099693294,0.1946786706,0.3170855312,0.2007893603,0.7769929516
52,51,178,1,6,0.778437032970,0.000554457256,0.02354691606,0.04615195548,0.8245889885,0.7322850775,-1.384427407,-0.09401198801,-1.568690904,-1.200163911,0.8119490299,0.7399705825,0.03598922371,0.257942,0.000897,0.3166439182,0.1992400818,0.3238604552,0.2054405665,0.7726400439
53,52,171,0,1,0.778437000000,0.000554457209,0.02354691506,0.04615195352,0.8245889535,0.7322850465,-1.384427253,-0.09401196956,-1.568690714,-1.200163793,0.8119489977,0.7399705562,0.03598922075,0.257942,0.000897,0.3166439182,0.1992400818,0.3238604552,0.2054405665,0.7726400439
54,53,170,0,1,0.778437000000,0.000554457209,0.02354691506,0.04615195352,0.8245889535,0.7322850465,-1.384427253,-0.09401196956,-1.568690714,-1.200163793,0.8119489977,0.7399705562,0.03598922075,0.257942,0.000897,0.3166439182,0.1992400818,0.3238604552,0.2054405665,0.7726400439
55,54,169,0,0,0.778437000000,0.000554457209,0.02354691506,0.04615195352,0.8245889535,0.7322850465,-1.384427253,-0.09401196956,-1.568690714,-1.200163793,0.8119489977,0.7399705562,0.03598922075,0.257942,0.000897,0.3166439182,0.1992400818,0.3238604552,0.2054405665,0.7726400439
56,55,169,1,4,0.773830988271,0.000568873678,0.02385107289,0.04674810286,0.8205790911,0.7270828854,-1.36100959,-0.09302226104,-1.543333222,-1.178685959,0.8076167024,0.7351484841,0.03623410914,0.263859,0.000932,0.3236952031,0.2040227969,0.3310231365,0.2103223739,0.7680818316
57,56,164,0,5,0.773831000000,0.000568873696,0.02385107327,0.0467481036,0.8205791036,0.7270828964,-1.361009641,-0.0930222672,-1.543333284,-1.178685997,0.8076167132,0.7351484928,0.0362341102,0.263859,0.000932,0.3236952031,0.2040227969,0.3310231365,0.2103223739,0.7680818316
58,57,159,0,3,0.773831000000,0.000568873696,0.02385107327,0.0467481036,0.8205791036,0.7270828964,-1.361009641,-0.0930222672,-1.543333284,-1.178685997,0.8076167132,0.7351484928,0.0362341102,0.263859,0.000932,0.3236952031,0.2040227969,0.3310231365,0.2103223739,0.7680818316
59,58,156,0,3,0.773831000000,0.000568873696,0.02385107327,0.0467481036,0.8205791036,0.7270828964,-1.361009641,-0.0930222672,-1.543333284,-1.178685997,0.8076167132,0.7351484928,0.0362341102,0.263859,0.000932,0.3236952031,0.2040227969,0.3310231365,0.2103223739,0.7680818316
60,59,153,0,1,0.773831000000,0.000568873696,0.02385107327,0.0467481036,0.8205791036,0.7270828964,-1.361009641,-0.0930222672,-1.543333284,-1.178685997,0.8076167132,0.7351484928,0.0362341102,0.263859,0.000932,0.3236952031,0.2040227969,0.3310231365,0.2103223739,0.7680818316
61,60,152,1,1,0.768739965851,0.000587415368,0.0242366534,0.04750384066,0.8162438065,0.7212361252,-1.335591726,-0.09215370175,-1.516212981,-1.15497047,0.8028866579,0.7297400963,0.03657328077,0.270438,0.000975,0.3316389804,0.2092370196,0.339117295,0.2156678911,0.7630452073
62,61,150,1,7,0.763614810420,0.000605848774,0.02461399549,0.04824343116,0.8118582416,0.7153713793,-1.310475493,-0.09126713302,-1.489359074,-1.131591913,0.7981033736,0.7243218619,0.03689075589,0.277105,0.001019,0.3396716876,0.2145383124,0.3472980785,0.2210987788,0.7579749056
63,62,142,1,1,0.758237623170,0.000626092555,0.02502184156,0.04904280946,0.8072804326,0.7091948137,-1.284610152,-0.09041039897,-1.461814534,-1.10740577,0.7930926286,0.7186254256,0.03723360154,0.284147,0.001069,0.3482303083,0.2200636917,0.3560319331,0.226776056,0.7526559961
64,63,140,0,4,0.758238000000,0.000626093178,0.02502185401,0.04904283386,0.8072808339,0.7091951661,-1.284611962,-0.09041060767,-1.461816754,-1.107407171,0.7930930368,0.7186257584,0.03723363919,0.284147,0.001069,0.3482303083,0.2200636917,0.3560319331,0.226776056,0.7526559961
65,64,136,1,4,0.752662675986,0.000647510762,0.02544623277,0.04987461622,0.8025372922,0.7027880598,-1.258294834,-0.08955586102,-1.433824321,-1.082765346,0.7878910376,0.7127263567,0.03758234049,0.291500,0.001123,0.3571819366,0.2258180634,0.3651703561,0.2326920808,0.7471420136
66,65,131,1,3,0.746917170658,0.000670578082,0.02589552243,0.05075522397,0.7976723946,0.6961619467,-1.231683284,-0.08874378457,-1.405621102,-1.057745466,0.782536505,0.7066372785,0.03794961324,0.299134,0.001181,0.3664907339,0.2317772661,0.3746769086,0.2388221636,0.7414600471
67,66,127,0,2,0.746917000000,0.000670577776,0.02589551652,0.05075521239,0.7976722124,0.6961617876,-1.231682504,-0.0887436951,-1.405620146,-1.057744862,0.7825363217,0.7066371302,0.03794959576,0.299134,0.001181,0.3664907339,0.2317772661,0.3746769086,0.2388221636,0.7414600471
68,67,125,1,3,0.740941664000,0.000695576094,0.02637377664,0.0516926022,0.7926342662,0.6892490618,-1.204528343,-0.08796144411,-1.376932773,-1.032123912,0.776971673,0.7002978645,0.03833690426,0.307134,0.001245,0.3762917328,0.2379762672,0.3846967413,0.2452094957,0.7355520303
69,68,121,0,4,0.740942000000,0.000695576725,0.0263737886,0.05169262565,0.7926346257,0.6892493743,-1.204529873,-0.08796161863,-1.376934646,-1.032125101,0.7769720402,0.700298161,0.03833693959,0.307134,0.001245,0.3762917328,0.2379762672,0.3846967413,0.2452094957,0.7355520303
70,69,117,0,1,0.740942000000,0.000695576725,0.0263737886,0.05169262565,0.7926346257,0.6892493743,-1.204529873,-0.08796161863,-1.376934646,-1.032125101,0.7769720402,0.700298161,0.03833693959,0.307134,0.001245,0.3762917328,0.2379762672,0.3846967413,0.2452094957,0.7355520303
71,70,116,2,7,0.728167418978,0.000751863006,0.02742012046,0.0537434361,0.7819108551,0.6744239829,-1.148146244,-0.08643764986,-1.317564038,-0.9787284506,0.7650708565,0.6867474762,0.03916169012,0.324375,0.001392,0.3975016518,0.2512483482,0.4064003966,0.2589051131,0.7229790744
72,71,107,0,7,0.728167000000,0.000751862141,0.02742010469,0.05374340518,0.7819104052,0.6744235948,-1.148144426,-0.08643744297,-1.317561814,-0.9787270379,0.7650704009,0.6867471116,0.03916164462,0.324375,0.001392,0.3975016518,0.2512483482,0.4064003966,0.2589051131,0.7229790744
73,72,100,0,6,0.728167000000,0.000751862141,0.02742010469,0.05374340518,0.7819104052,0.6744235948,-1.148144426,-0.08643744297,-1.317561814,-0.9787270379,0.7650704009,0.6867471116,0.03916164462,0.324375,0.001392,0.3975016518,0.2512483482,0.4064003966,0.2589051131,0.7229790744
74,73,94,0,2,0.728167000000,0.000751862141,0.02742010469,0.05374340518,0.7819104052,0.6744235948,-1.148144426,-0.08643744297,-1.317561814,-0.9787270379,0.7650704009,0.6867471116,0.03916164462,0.324375,0.001392,0.3975016518,0.2512483482,0.4064003966,0.2589051131,0.7229790744
75,74,92,1,3,0.720251824710,0.000797338256,0.02823717861,0.05534487008,0.7755966948,0.6649069546,-1.114271128,-0.08604846283,-1.282926115,-0.945616141,0.7578840144,0.6781137968,0.03988510878,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
76,75,88,0,5,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
77,76,83,0,5,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
78,77,78,0,6,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
79,78,72,0,6,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
80,79,66,0,0,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
81,80,66,0,0,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
82,81,66,0,3,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
83,82,63,0,4,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
84,83,59,0,4,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
85,84,55,0,2,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
86,85,53,0,3,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
87,86,50,0,5,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
88,87,45,0,3,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
89,88,42,0,0,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
90,89,42,0,0,0.720252000000,0.000797338644,0.02823718548,0.05534488355,0.7755968835,0.6649071165,-1.11427189,-0.0860485493,-1.282927046,-0.9456167331,0.75788421,0.6781139528,0.03988512861,0.335245,0.001510,0.4114080882,0.2590819118,0.4207538396,0.2671139261,0.71516285
