RowNumber,AgingDays,Number_At_Risk_Nt,Number_of_Deaths_Dt,Number_Censored_Ct,Survival_Probability_St,GreenwoodVarianceEstimationforKaplanMeier,StandardErrorLinear,MarginofErrorLinear,UpperLimitLinear,LowerLimitLinear,LogLogSurvival,SE_LogLogSurvival,Upper_LogLog,Lower_LogLog,UpperLimit,LowerLimit,MarginofError,CumulativeHazard,VarianceofNelsonAalenEstimator,UpperLimitLargeSample,LowerLimitLargeSample,LogtransformedUpperLimit,LogtransformedLowerLimit,SurvivalFunctionEstimateNelsonAalen
110,109,16,0,0,0.532328000000,0.004111460302,0.06412066985,0.1256765129,0.6580045129,0.4066514871,-0.4612493726,-0.1016988671,-0.6605791521,-0.2619195932,0.5965739418,0.4632108634,0.06668153923,0.631201,0.013877,0.8620903311,0.4003116689,0.9099758175,0.4378299892,0.5319525422
111,110,16,1,0,0.499057500000,0.004651414460,0.06820127902,0.1336745069,0.6327320069,0.3653829931,-0.3637945866,-0.09812654484,-0.5561226145,-0.1714665587,0.5635900458,0.4306634125,0.06646331664,0.693701,0.017783,0.9550727138,0.4323292862,1.011125822,0.4759260095,0.4997231669
112,111,15,0,0,0.499058000000,0.004651423780,0.06820134735,0.1336746408,0.6327326408,0.3653833592,-0.3637960281,-0.0981267846,-0.5561245259,-0.1714675303,0.5635906635,0.430663765,0.06646344926,0.693701,0.017783,0.9550727138,0.4323292862,1.011125822,0.4759260095,0.4997231669
113,112,15,0,0,0.499058000000,0.004651423780,0.06820134735,0.1336746408,0.6327326408,0.3653833592,-0.3637960281,-0.0981267846,-0.5561245259,-0.1714675303,0.5635906635,0.430663765,0.06646344926,0.693701,0.017783,0.9550727138,0.4323292862,1.011125822,0.4759260095,0.4997231669
114,113,15,0,0,0.499058000000,0.004651423780,0.06820134735,0.1336746408,0.6327326408,0.3653833592,-0.3637960281,-0.0981267846,-0.5561245259,-0.1714675303,0.5635906635,0.430663765,0.06646344926,0.693701,0.017783,0.9550727138,0.4323292862,1.011125822,0.4759260095,0.4997231669
115,114,15,0,0,0.499058000000,0.004651423780,0.06820134735,0.1336746408,0.6327326408,0.3653833592,-0.3637960281,-0.0981267846,-0.5561245259,-0.1714675303,0.5635906635,0.430663765,0.06646344926,0.693701,0.017783,0.9550727138,0.4323292862,1.011125822,0.4759260095,0.4997231669
116,115,15,1,2,0.465787300314,0.005085057130,0.07130958652,0.1397667896,0.6055540899,0.3260205107,-0.2691532295,-0.09333395865,-0.4520877884,-0.08621867052,0.5292479155,0.399559095,0.06484441023,0.760368,0.022227,1.052578957,0.4681570433,1.116668016,0.5177541464,0.4674943574
117,116,12,0,0,0.465787000000,0.005085050573,0.07130954055,0.1397666995,0.6055536995,0.3260203005,-0.2691523865,-0.09333381979,-0.4520866733,-0.08621809968,0.5292475399,0.3995588857,0.06484432709,0.760368,0.022227,1.052578957,0.4681570433,1.116668016,0.5177541464,0.4674943574
118,117,12,0,0,0.465787000000,0.005085050573,0.07130954055,0.1397666995,0.6055536995,0.3260203005,-0.2691523865,-0.09333381979,-0.4520866733,-0.08621809968,0.5292475399,0.3995588857,0.06484432709,0.760368,0.022227,1.052578957,0.4681570433,1.116668016,0.5177541464,0.4674943574
119,118,12,0,0,0.465787000000,0.005085050573,0.07130954055,0.1397666995,0.6055536995,0.3260203005,-0.2691523865,-0.09333381979,-0.4520866733,-0.08621809968,0.5292475399,0.3995588857,0.06484432709,0.760368,0.022227,1.052578957,0.4681570433,1.116668016,0.5177541464,0.4674943574
